sample_idx,t_pc_s,segment_id,label,orta_acc_x,orta_acc_y,orta_acc_z,orta_gyro_x,orta_gyro_y,orta_gyro_z,sol_acc_x,sol_acc_y,sol_acc_z,sol_gyro_x,sol_gyro_y,sol_gyro_z,sag_acc_x,sag_acc_y,sag_acc_z,sag_gyro_x,sag_gyro_y,sag_gyro_z
29,3.0623851,1,rest_initial,1.1253,0.7494,9.1554,0.0708,0.0378,0.0072,0.3903,0.2346,9.8234,0.0285,0.045,0.0144,0.7422,0.0311,9.912,-0.0152,-0.0623,-0.016
30,3.0626944,1,rest_initial,1.1325,0.6823,9.1866,0.0679,0.041,0.0091,0.4214,0.2346,9.9383,0.0277,0.0376,0.0149,0.7183,0.0072,9.833,-0.0107,-0.061,-0.0133
31,3.0630005,1,rest_initial,1.142,0.7422,9.1411,0.0639,0.0376,0.0064,0.3543,0.2562,9.979,0.0336,0.0383,0.0125,0.7302,-0.0096,9.8545,-0.0115,-0.0594,-0.012
32,3.0632974,1,rest_initial,1.1037,0.6991,9.1482,0.0634,0.0386,0.0099,0.3855,0.249,9.9144,0.0301,0.0391,0.0109,0.723,0.0407,9.8282,-0.0107,-0.0586,-0.016
33,3.0636039,1,rest_initial,1.0894,0.7326,9.1028,0.0642,0.0362,0.0088,0.4238,0.2203,9.9407,0.0317,0.0447,0.0141,0.7542,0.0311,9.8881,-0.0112,-0.0594,-0.0176
34,3.0638987,1,rest_initial,1.1061,0.7087,9.1028,0.0618,0.0357,0.0064,0.4142,0.2514,9.8952,0.0288,0.0349,0.0133,0.747,0.0287,9.7923,-0.0104,-0.0658,-0.0157
35,3.0641927,1,rest_initial,1.1013,0.7183,9.1722,0.0599,0.037,0.0037,0.4094,0.2442,9.9072,0.0256,0.0431,0.0133,0.7494,0.0479,9.7851,-0.0149,-0.061,-0.0128
36,3.0644959,1,rest_initial,1.1157,0.7039,9.1746,0.0663,0.0373,0.0051,0.3759,0.2203,9.9096,0.0304,0.0405,0.0117,0.7326,0.0287,9.8737,-0.0136,-0.0599,-0.0184
37,3.064783,1,rest_initial,1.1301,0.7135,9.1291,0.0644,0.0336,0.0069,0.4142,0.1939,9.9311,0.0336,0.0354,0.0123,0.7446,0.0694,9.8306,-0.0117,-0.0655,-0.0117
38,3.0650795,1,rest_initial,1.1372,0.7254,9.1674,0.0674,0.033,0.0077,0.4214,0.2083,9.9264,0.0317,0.0397,0.0112,0.7422,0.0527,9.8378,-0.0115,-0.0658,-0.0128
39,3.0653836,1,rest_initial,1.1564,0.7063,9.1243,0.0639,0.0407,0.008,0.4118,0.261,9.9168,0.0298,0.0362,0.0157,0.7111,0.0718,9.8737,-0.0125,-0.0629,-0.0125
40,3.0657064,1,rest_initial,1.1229,0.6728,9.1171,0.0589,0.0407,0.0093,0.3926,0.2203,9.8378,0.029,0.0365,0.0109,0.7135,-0.0024,9.8545,-0.0149,-0.0607,-0.0141
41,3.06602,1,rest_initial,1.0774,0.7063,9.1219,0.0634,0.036,0.0072,0.407,0.2394,9.9168,0.0285,0.0405,0.0152,0.7159,0.0215,9.8689,-0.0125,-0.0621,-0.0157
42,3.0663652,1,rest_initial,1.1157,0.6943,9.1506,0.0642,0.0391,0.0059,0.4381,0.237,9.9551,0.0293,0.0397,0.0149,0.7254,0.0311,9.8114,-0.0162,-0.0594,-0.017
43,3.0667789,1,rest_initial,1.087,0.7254,9.1746,0.0599,0.0386,0.0091,0.4262,0.237,9.8976,0.0306,0.037,0.0112,0.7781,-0.0072,9.809,-0.0138,-0.057,-0.013
44,3.0670884,1,rest_initial,1.1468,0.6919,9.1626,0.0621,0.0381,0.0077,0.4214,0.261,9.9335,0.0274,0.0399,0.0138,0.7302,0.0335,9.8521,-0.0101,-0.0631,-0.0138
45,3.0673963,1,rest_initial,1.1468,0.7063,9.153,0.0631,0.0383,0.0067,0.419,0.2179,9.8881,0.029,0.0415,0.0144,0.7518,0.0144,9.8617,-0.012,-0.0613,-0.0136
46,3.0677973,1,rest_initial,1.1037,0.6919,9.1985,0.0613,0.0394,0.0096,0.4214,0.2035,9.9407,0.0312,0.0405,0.0141,0.7446,0.0239,9.8162,-0.0125,-0.0581,-0.0125
47,3.0683046,1,rest_initial,1.1325,0.6943,9.1411,0.0682,0.0437,0.0099,0.4118,0.237,9.8737,0.032,0.0394,0.0125,0.7302,0.0431,9.7755,-0.0117,-0.0602,-0.0141
48,3.0686932,1,rest_initial,1.0822,0.7278,9.153,0.0674,0.0378,0.0061,0.4142,0.2514,9.8881,0.0298,0.0415,0.0138,0.7111,0.0455,9.8593,-0.0152,-0.0586,-0.0123
49,3.0690545,1,rest_initial,1.1157,0.735,9.1506,0.0639,0.0413,0.0027,0.4238,0.2322,9.9024,0.0274,0.0418,0.013,0.759,0.0431,9.8976,-0.0117,-0.0591,-0.0115
