sample_idx,t_pc_s,segment_id,label,orta_acc_x,orta_acc_y,orta_acc_z,orta_gyro_x,orta_gyro_y,orta_gyro_z,sol_acc_x,sol_acc_y,sol_acc_z,sol_gyro_x,sol_gyro_y,sol_gyro_z,sag_acc_x,sag_acc_y,sag_acc_z,sag_gyro_x,sag_gyro_y,sag_gyro_z
1,3.2921757,1,rest_initial,1.1468,0.7039,9.1219,0.0671,0.0378,0.0072,0.3998,0.249,9.8976,0.0296,0.0429,0.0138,0.7685,0.0239,9.833,-0.0146,-0.0629,-0.0149
2,3.4451143,1,rest_initial,1.0918,0.7278,9.1842,0.0671,0.0394,0.0069,0.4405,0.2179,9.9934,0.0314,0.0431,0.0162,0.7781,0.0096,9.8019,-0.0112,-0.0562,-0.0125
3,3.4527946,1,rest_initial,1.1468,0.6728,9.1171,0.0671,0.0391,0.0077,0.4046,0.2322,9.9096,0.028,0.0357,0.0168,0.7997,0.0192,9.7971,-0.0112,-0.0589,-0.0162
4,3.4592592,1,rest_initial,1.1013,0.7183,9.2153,0.0668,0.0447,0.0064,0.4357,0.1915,9.9,0.0306,0.0423,0.0128,0.759,0.0599,9.8689,-0.0109,-0.0583,-0.0117
5,3.6121867,1,rest_initial,1.0678,0.7159,9.1578,0.0663,0.0344,0.0072,0.3903,0.2011,9.9383,0.0312,0.0378,0.0128,0.7566,0.0335,9.833,-0.0144,-0.0602,-0.0154
6,3.6624065,1,rest_initial,1.1061,0.6919,9.1482,0.0594,0.0389,0.0059,0.3879,0.2059,9.9264,0.0301,0.0413,0.0178,0.8045,0.0144,9.8593,-0.0154,-0.0578,-0.0109
7,3.6629365,1,rest_initial,1.1157,0.6895,9.074,0.0636,0.0391,0.0064,0.3855,0.2179,9.9168,0.0261,0.0389,0.0104,0.7542,0.0168,9.8665,-0.0138,-0.057,-0.0138
8,3.6634509,1,rest_initial,1.1636,0.747,9.0812,0.0642,0.0333,0.0096,0.4022,0.2562,9.9838,0.0285,0.0418,0.016,0.7901,0.0359,9.8306,-0.0093,-0.0621,-0.0152
9,3.6638467,1,rest_initial,1.1349,0.6895,9.153,0.0679,0.0394,0.0051,0.4525,0.2251,9.9407,0.0304,0.0362,0.0117,0.7901,0.0048,9.809,-0.0138,-0.0623,-0.0123
10,3.6641947,1,rest_initial,1.142,0.7278,9.0788,0.0671,0.0397,0.0069,0.4046,0.2394,9.9048,0.0288,0.0397,0.0117,0.8045,0.0527,9.821,-0.0117,-0.0644,-0.016
