sample_idx,t_pc_s,label,omega_ukf_x,omega_ukf_y,omega_ukf_z,omega_raw_avg_x,omega_raw_avg_y,omega_raw_avg_z,omega_orta_x,omega_orta_y,omega_orta_z,omega_sol_x,omega_sol_y,omega_sol_z,omega_sag_x,omega_sag_y,omega_sag_z,alpha_ukf_x,alpha_ukf_y,alpha_ukf_z,innovation_norm,nis
1,3.2921757,rest_initial,0.000214062467091268,-0.00445452292000821,-0.00279701021446188,0.000217779853650964,-0.00445318387046551,-0.0028216098396388,0.00289093881363854,-0.00577459131247079,-0.00235782344698739,0.000163334890238225,-0.00153194768799628,-0.00220527790751984,-0.00240093414292387,-0.00605301261092947,-0.00390172816440916,-0.0053917776445583,-8.37589701756477e-08,0.0279109482093315,0.0519827627931998,0.960621364733298
2,3.4451143,rest_initial,0.00189497833705885,-0.0021540845860912,-0.0016274344632456,0.0019511131869843,-0.00161985053713218,-0.0013216098396388,0.00289093881363854,-0.00417459131247079,-0.00265782344698739,0.00196333489023822,-0.00133194768799628,0.000194722092480157,0.000999065857076127,0.000646987389070527,-0.00150172816440916,0.063849291949088,0.00301470558558172,-0.0404279023068608,0.125540797583264,4.60821278760357
3,3.4527946,rest_initial,0.00105537641387829,-0.00456610577575641,-0.00199164412854245,0.000817779853650964,-0.00508651720379884,-0.00208827650630546,0.00289093881363854,-0.00447459131247079,-0.00185782344698739,-0.00143666510976178,-0.00873194768799627,0.000794722092480157,0.000999065857076127,-0.00205301261092947,-0.00520172816440916,0.0849338848190123,0.000698821293815037,0.0175179655679676,0.0556461409715757,1.70652322114569
4,3.4592592,rest_initial,0.00161316498491991,-0.00147334584773187,-0.00242176925637896,0.00168444652031763,-0.000819850537132181,-0.00235494317297213,0.00259093881363853,0.00112540868752921,-0.00315782344698739,0.00116333489023822,-0.00213194768799628,-0.00320527790751984,0.00129906585707613,-0.00145301261092947,-0.000701728164409162,0.00769330098765225,0.00324729974992285,-0.0593993282307256,0.127198379106976,5.35235709661179
5,3.6121867,rest_initial,0.00072206724236971,-0.00556703796833134,-0.00342183129567257,0.000551113186984294,-0.00638651720379884,-0.0033216098396388,0.00209093881363853,-0.00917459131247079,-0.00235782344698739,0.00176333489023822,-0.00663194768799628,-0.00320527790751984,-0.00220093414292387,-0.00335301261092947,-0.00440172816440916,0.0217901589397351,-0.0042383800504821,-0.0730663438341724,0.0716425470046793,2.51521039320351
6,3.6624065,rest_initial,-0.00206417362370052,-0.00334947228087678,-0.000939523998028803,-0.00244888681301571,-0.00291985053713218,-0.000588276506305464,-0.00480906118636146,-0.00467459131247079,-0.00365782344698739,0.000663334890238221,-0.00313194768799627,0.00179472209248016,-0.00320093414292387,-0.00095301261092947,9.82718355908383e-05,0.00227176763531413,0.00688965611925134,0.00583375681434765,0.0560890085540069,0.742325638945283
7,3.6629365,rest_initial,-0.00179077219375196,-0.00340177156792138,-0.00348334748664036,-0.0018488868130157,-0.00338651720379885,-0.00385494317297213,-0.000609061186361462,-0.00447459131247079,-0.00315782344698739,-0.00333666510976178,-0.00553194768799628,-0.00560527790751984,-0.00160093414292387,-0.000153012610929475,-0.00280172816440916,0.0250921140346554,0.00683907092533915,0.0196626932897046,0.118462139282453,1.53941286124789
8,3.6634509,rest_initial,0.000544513130515393,-0.00560572638716588,-0.00162883841894224,0.000651113186984293,-0.00605318387046551,-0.00138827650630546,-9.06118636147257e-06,-0.0102745913124708,4.21765530126111e-05,-0.000936665109761776,-0.00263194768799628,-5.27790751984197e-06,0.00289906585707613,-0.00525301261092948,-0.00420172816440916,0.126990646924546,0.0063714926459715,0.0721146151115957,0.152596472555376,4.73236052738679
9,3.6638467,rest_initial,0.00110548208711171,-0.00584139741157997,-0.00315245847793094,0.00101777985365096,-0.00595318387046551,-0.00335494317297213,0.00369093881363854,-0.00417459131247079,-0.00445782344698739,0.000963334890238223,-0.00823194768799627,-0.00430527790751984,-0.00160093414292387,-0.00545301261092947,-0.00130172816440916,0.15363416496346,0.00634491974606869,0.0210697588273307,0.051994801710956,0.543727733592326
10,3.6641947,rest_initial,0.00111015680849443,-0.00541613654253714,-0.00385405282347263,0.000917779853650963,-0.00538651720379885,-0.00398827650630546,0.00289093881363854,-0.00387459131247079,-0.00265782344698739,-0.000636665109761778,-0.00473194768799628,-0.00430527790751984,0.000499065857076127,-0.00755301261092947,-0.00500172816440916,0.179139582618461,0.00636256323790929,0.0742090525360139,0.0742945704565572,0.989476509568643
11,3.664545,rest_initial,0.000956035825675799,-0.00527837433115248,-0.00047004073325409,0.000817779853650959,-0.00525318387046551,-5.49431729721308e-05,-9.06118636147257e-06,-0.00417459131247079,0.00374217655301261,0.000663334890238221,-0.00983194768799628,-0.000805277907519842,0.00179906585707613,-0.00175301261092947,-0.00310172816440916,0.0952867877407257,0.00636991598791598,0.15284970229671,0.141417544507695,5.5946925122295
12,3.6649035,rest_initial,0.000915543521799115,-0.00531911934869207,-0.00193777323213401,0.000784446520317629,-0.00531985053713218,-0.00218827650630546,-0.00190906118636146,-0.00677459131247079,-0.00285782344698739,0.00276333489023822,-0.00453194768799628,-0.00110527790751984,0.00149906585707613,-0.00465301261092947,-0.00260172816440916,0.101651442814282,0.00636828928111036,0.1039784051383,0.0747840900012923,2.91792880714599
13,3.6652463,rest_initial,-0.000404807694495114,-0.00567467108923323,-0.00334883644324691,-0.000715553479682374,-0.00575318387046551,-0.0036216098396388,0.000990938813638528,-0.00677459131247079,-0.00475782344698739,-0.00173666510976178,-0.00553194768799628,-0.00220527790751984,-0.00140093414292387,-0.00495301261092947,-0.00390172816440916,0.104699554917827,0.00634685135594145,0.139789017338029,0.0698321293471092,2.31474226087971
14,3.6656087,rest_initial,0.00284879076570717,-0.00356155263330246,-0.00179023737815274,0.00311777985365096,-0.00311985053713218,-0.00158827650630546,0.00319093881363854,-0.00177459131247079,-0.00125782344698739,0.00276333489023822,-0.00503194768799628,-0.00220527790751984,0.00339906585707613,-0.00255301261092947,-0.00130172816440916,0.114094170215828,0.00648616384894574,0.0959805203165242,0.0748714974786076,1.25755786579288
15,3.6659507,rest_initial,0.000600588441745276,-0.0047831380794948,-0.00230993352154227,0.000184446520317625,-0.00505318387046551,-0.00238827650630546,0.00339093881363853,-0.00547459131247079,-0.00395782344698739,-0.00223666510976178,-0.00473194768799628,0.000194722092480157,-0.000600934142923873,-0.00495301261092947,-0.00340172816440916,0.100885294139382,0.00640360999101106,0.0484282497991285,0.0674358049521693,0.994406562797785
16,3.6662979,rest_initial,-4.21501044759765e-05,-0.00431796803001369,-0.00287384430635262,-0.000248886813015705,-0.00425318387046551,-0.00295494317297213,0.00179093881363854,-0.00227459131247078,-0.00605782344698739,-0.00223666510976178,-0.00583194768799628,-5.27790751984197e-06,-0.000300934142923873,-0.00465301261092947,-0.00280172816440916,0.0637426374107271,0.00643517710829455,0.0395649410601737,0.0543546643219506,1.69142289591504
17,3.6666394,rest_initial,-0.000284880727695582,-0.00707797405045474,-0.00353924229570924,-0.000415553479682373,-0.00765318387046551,-0.0036216098396388,-0.000809061186361468,-0.0102745913124708,-0.00665782344698739,0.000663334890238221,-0.00663194768799628,-0.00190527790751984,-0.00110093414292387,-0.00605301261092947,-0.00230172816440916,0.0278199436522961,0.00623320487464021,0.00825201082653156,0.0758327175239335,1.36895803432913
18,3.6669775,rest_initial,-0.000834827803488261,-0.00488980294758307,-0.00382927371710604,-0.0010488868130157,-0.00445318387046551,-0.00385494317297213,-0.00110906118636146,-0.00337459131247079,-0.00445782344698739,-0.00303666510976178,-0.00373194768799628,-0.00530527790751984,0.000999065857076127,-0.00625301261092948,-0.00180172816440916,0.0722771136421224,0.00639865425289839,-0.0234491098115893,0.123265743874776,4.06235387217482
19,3.6673098,rest_initial,-0.000691832184056825,-0.00237416526503869,-0.00237834120771907,-0.000815553479682372,-0.00185318387046551,-0.0021216098396388,-0.00350906118636147,0.00092540868752921,-0.00185782344698739,-0.000436665109761775,-0.00393194768799628,-0.00140527790751984,0.00149906585707613,-0.00255301261092947,-0.00310172816440916,0.0892750802612323,0.00659417359640003,-0.0273423492538928,0.103061334401312,2.37044313047505
20,3.6676604,rest_initial,0.00218075032766398,-0.00620462425097331,-0.00521723915828074,0.00241777985365096,-0.00705318387046551,-0.00565494317297213,0.00289093881363854,-0.00677459131247079,-0.00155782344698739,0.00466333489023822,-0.00683194768799628,-0.00830527790751984,-0.000300934142923873,-0.00755301261092947,-0.00710172816440916,0.121330575840598,0.00626882748190049,0.0685451103332877,0.137198309195485,4.05967636113384
21,3.6680015,rest_initial,0.00150128103159606,-0.0055138139996302,-0.00276223422320579,0.00125111318698429,-0.00535318387046551,-0.00238827650630546,0.00259093881363853,-0.00547459131247079,-0.00265782344698739,0.000663334890238221,-0.00613194768799628,-0.000605277907519842,0.000499065857076127,-0.00445301261092947,-0.00390172816440916,0.184148942254406,0.00632872925234473,0.105893854878801,0.062017070795079,1.7065194853034
22,3.6683391,rest_initial,0.000579901096832422,-0.00497091331970792,-0.00388958641811473,0.000284446520317629,-0.00478651720379885,-0.0040216098396388,-0.000609061186361462,-0.00837459131247079,-0.00445782344698739,-0.000636665109761778,-0.00313194768799627,-0.00450527790751984,0.00209906585707613,-0.00285301261092948,-0.00310172816440916,0.163812152124937,0.00637760011838744,0.0863236162986552,0.11360574373442,3.29362521043841
23,3.6686744,rest_initial,0.00016549643472825,-0.00371903902891454,-0.00263820161122129,-4.88868130157037e-05,-0.00338651720379884,-0.00238827650630546,-0.00160906118636146,-0.00627459131247079,-0.00475782344698739,0.00306333489023822,-0.00293194768799628,-0.00190527790751984,-0.00160093414292387,-0.00095301261092947,-0.000501728164409162,0.159729148235973,0.00649272415753243,0.0404816768225442,0.062904573760044,3.10601248739303
24,3.669096,rest_initial,-0.0005216213594274,-0.00589485764525288,-0.00206070263708802,-0.000848886813015702,-0.00641985053713218,-0.0019216098396388,0.00289093881363854,-0.00527459131247079,4.21765530126111e-05,-0.00383666510976178,-0.00583194768799628,-0.00560527790751984,-0.00160093414292387,-0.00815301261092947,-0.000201728164409162,0.286672208323205,0.00624161773133517,0.055283002704067,0.149009093592103,6.52714005027111
25,3.6694866,rest_initial,0.000262871545114989,-0.00401309172225197,-0.00284993247953549,0.000117779853650963,-0.00355318387046551,-0.0029216098396388,-0.00160906118636146,-0.00627459131247079,-0.00235782344698739,0.00356333489023822,-0.00263194768799628,-0.000605277907519842,-0.00160093414292387,-0.00175301261092947,-0.00580172816440916,0.365296568766293,0.00645829576085905,0.0752621066379128,0.121994746105609,3.72036616709909
26,3.6698339,rest_initial,0.000696894344944635,-0.00461835365315959,-0.00222368515919266,0.000517779853650962,-0.00475318387046551,-0.00208827650630546,0.00179093881363854,-0.00527459131247079,0.000542176553012612,0.00116333489023822,-0.00453194768799628,-0.00240527790751984,-0.00140093414292387,-0.00445301261092947,-0.00440172816440916,0.333939988988795,0.0063929528365296,0.0802728186970246,0.0801786751314859,1.84146639017046
27,3.6701685,rest_initial,-0.000637071744343656,-0.00341820995794648,-0.00314816911282494,-0.00104888681301571,-0.00311985053713218,-0.00325494317297213,-0.00190906118636146,-0.00497459131247079,-0.000757823446987388,-0.000636665109761778,-0.00293194768799628,-0.00560527790751984,-0.000600934142923873,-0.00145301261092947,-0.00340172816440916,0.307917560579479,0.00651956353918383,0.175237964050967,0.0660846415837178,1.64292298485697
28,3.6705001,rest_initial,0.00115355033291392,-0.00477627277545799,-0.00275650341114598,0.00115111318698429,-0.00508651720379885,-0.00265494317297213,0.000490938813638528,-0.00527459131247079,-0.00345782344698739,0.00356333489023822,-0.00473194768799628,-0.000605277907519842,-0.000600934142923873,-0.00525301261092948,-0.00390172816440916,0.303582939130017,0.00637370587396698,0.183776024236036,0.0344975596103933,0.455347544703583
29,3.6708406,rest_initial,0.000507209329227906,-0.00538964542768025,-0.00322386777139348,0.000184446520317629,-0.00551985053713218,-0.00325494317297213,-0.00160906118636146,-0.00527459131247079,-0.00345782344698739,-0.000136665109761777,-0.00903194768799628,-0.00370527790751984,0.00229906585707613,-0.00225301261092947,-0.00260172816440916,0.291430103003401,0.00630440841036021,0.190254903754267,0.0426608628334245,0.664026426656911
30,3.6711753,rest_initial,-0.000189161678395544,-0.00484811338689605,-0.00288988352151469,-0.000515553479682372,-0.00471985053713218,-0.0028216098396388,-0.000309061186361467,-0.00597459131247079,-0.00185782344698739,-0.000936665109761776,-0.00453194768799628,-0.00480527790751984,-0.000300934142923873,-0.00365301261092947,-0.00180172816440916,0.289733263886897,0.00636624534760598,0.216380318518879,0.0555630210316026,0.647503838002645
31,3.6715191,rest_initial,0.000515323446997884,-0.00568528349340505,-0.00329948815820019,0.000351113186984296,-0.00588651720379885,-0.0033216098396388,0.00179093881363854,-0.00577459131247079,-0.00445782344698739,-0.00173666510976178,-0.00663194768799628,-0.00350527790751984,0.000999065857076127,-0.00525301261092948,-0.00200172816440916,0.321428455859315,0.00626525717300728,0.152779114784955,0.0523834164233593,1.10461901098012
32,3.6718519,rest_initial,0.00254060896556845,-0.00571267553307467,-0.00449208275936385,0.00258444652031763,-0.00568651720379885,-0.00465494317297213,0.00339093881363853,-0.00817459131247079,-0.00685782344698739,0.000663334890238221,-0.00583194768799628,-0.00350527790751984,0.00369906585707613,-0.00305301261092947,-0.00360172816440916,0.201196854660665,0.00626165316904911,0.232742939084148,0.0940462429068285,1.8824244498952
33,3.6721815,rest_initial,-0.000814395450608692,-0.00378961225454043,-0.00243403565170033,-0.00148222014634904,-0.00338651720379884,-0.00208827650630546,0.000790938813638536,-0.00287459131247079,-0.00365782344698739,-0.00223666510976178,-0.00393194768799628,-0.00270527790751984,-0.00300093414292387,-0.00335301261092947,9.82718355908383e-05,0.322810182964226,0.00649716535800698,0.231324216931828,0.141860883742068,3.03789563764176
34,3.6725224,rest_initial,-0.0017682264332643,-0.00548433319857573,-0.00273121593218933,-0.0021488868130157,-0.00585318387046551,-0.0027216098396388,0.000190938813638533,-0.00707459131247079,-0.00315782344698739,-0.000436665109761775,-0.00473194768799628,-0.000605277907519842,-0.00620093414292387,-0.00575301261092948,-0.00440172816440916,0.381508761975135,0.00627809408537842,0.177341409792685,0.0786240925162401,1.16899265855758
35,3.6728574,rest_initial,0.00108561189953669,-0.00542528724969085,-0.00316395089475658,0.00115111318698429,-0.00541985053713218,-0.00318827650630546,0.000990938813638528,-0.00497459131247079,-0.00425782344698739,0.00116333489023822,-0.00793194768799628,-0.00140527790751984,0.00129906585707613,-0.00335301261092947,-0.00390172816440916,0.449243422113265,0.0062855853404681,0.169747515257674,0.108639164085244,2.29973136619854
36,3.6732125,rest_initial,-0.000319159147594983,-0.00479375793991714,-0.00436772436986864,-0.000782220146349036,-0.00471985053713218,-0.00448827650630546,0.00239093881363854,-0.00207459131247079,-0.00605782344698739,-0.00123666510976178,-0.00533194768799627,-0.00430527790751984,-0.00350093414292387,-0.00675301261092948,-0.00310172816440916,0.446382825897101,0.00637438313920885,0.128797684140707,0.132203627103574,2.35280314308488
37,3.6735607,rest_initial,-0.000853260545030874,-0.00193040457305761,-0.00274387936688567,-0.00121555347968237,-0.00135318387046551,-0.00245494317297213,0.00239093881363854,0.00192540868752921,-0.00315782344698739,-0.00223666510976178,-0.00153194768799628,-0.00270527790751984,-0.00380093414292387,-0.00445301261092947,-0.00150172816440916,0.432865612291781,0.00678374909317747,0.184818391014839,0.0690776985740819,0.58048698337196
38,3.6739526,rest_initial,0.00112498023368473,-0.00423377810300871,-0.00414880670000889,0.00108444652031763,-0.00478651720379885,-0.0043216098396388,0.00499093881363853,-0.00177459131247079,-0.00205782344698739,0.000163334890238225,-0.00423194768799628,-0.00590527790751984,-0.00190093414292387,-0.00835301261092947,-0.00500172816440916,0.408870407706348,0.00641199847650547,0.149971519808621,0.113731793617755,3.19236567554851
39,3.6743413,rest_initial,-0.000414885542456247,-0.00559534578009328,-0.00136763684912037,-0.000882220146349038,-0.00588651720379885,-0.000921609839638797,-0.00270906118636147,-0.00497459131247079,-0.00205782344698739,-0.00143666510976178,-0.00743194768799628,0.00209472209248016,0.00149906585707613,-0.00525301261092948,-0.00280172816440916,0.318817713910767,0.00618462041568537,0.113482752468344,0.0762749685446637,2.18488516973119
40,3.6746805,rest_initial,-0.00205317819610129,-0.00626386052109856,-0.00220694393351926,-0.0025488868130157,-0.00648651720379885,-0.00228827650630546,-0.00160906118636146,-0.00367459131247079,-0.00475782344698739,-0.00493666510976178,-0.00343194768799628,-0.00110527790751984,-0.00110093414292387,-0.0123530126109295,-0.00100172816440916,0.315720431526974,0.00608237398498934,0.125417484939905,0.079721940747635,1.70358203833007
