sample_idx,t_pc_s,label,omega_ukf_x,omega_ukf_y,omega_ukf_z,omega_raw_avg_x,omega_raw_avg_y,omega_raw_avg_z,omega_orta_x,omega_orta_y,omega_orta_z,omega_sol_x,omega_sol_y,omega_sol_z,omega_sag_x,omega_sag_y,omega_sag_z,alpha_ukf_x,alpha_ukf_y,alpha_ukf_z,innovation_norm
1,3.2921757,rest_initial,0.000217301250702083,-0.00445376403247144,-0.00282127823370346,0.000217779853650964,-0.00445318387046551,-0.0028216098396388,0.00289093881363854,-0.00577459131247079,-0.00235782344698739,0.000163334890238225,-0.00153194768799628,-0.00220527790751984,-0.00240093414292387,-0.00605301261092947,-0.00390172816440916,-7.02031878934223e-05,-3.62897856306201e-08,0.000381243359208319,0.0519827627931998
2,3.4451143,rest_initial,0.00192959838620749,-0.00171925268835779,-0.00134904244911742,0.0019511131869843,-0.00161985053713218,-0.0013216098396388,0.00289093881363854,-0.00417459131247079,-0.00265782344698739,0.00196333489023822,-0.00133194768799628,0.000194722092480157,0.000999065857076127,0.000646987389070527,-0.00150172816440916,0.00145547293779739,0.0010546256634697,1.75776395446635e-05,0.1252560938219
3,3.4527946,rest_initial,0.000838444502598584,-0.00500135160060714,-0.00207911976018494,0.000817779853650964,-0.00508651720379884,-0.00208827650630546,0.00289093881363854,-0.00447459131247079,-0.00185782344698739,-0.00143666510976178,-0.00873194768799627,0.000794722092480157,0.000999065857076127,-0.00205301261092947,-0.00520172816440916,0.00154609840322804,0.000387252985948629,0.000643162639410379,0.0561439197126231
4,3.4592592,rest_initial,0.00167146072151801,-0.000877872229898983,-0.00235292206217561,0.00168444652031763,-0.000819850537132181,-0.00235494317297213,0.00259093881363853,0.00112540868752921,-0.00315782344698739,0.00116333489023822,-0.00213194768799628,-0.00320527790751984,0.00129906585707613,-0.00145301261092947,-0.000701728164409162,0.000784939485343895,0.00109653960980734,-0.000482617692139767,0.125917342842705
5,3.6121867,rest_initial,0.000554670460948988,-0.00630910583646403,-0.00330629666065207,0.000551113186984294,-0.00638651720379884,-0.0033216098396388,0.00209093881363853,-0.00917459131247079,-0.00235782344698739,0.00176333489023822,-0.00663194768799628,-0.00320527790751984,-0.00220093414292387,-0.00335301261092947,-0.00440172816440916,0.000509399820248268,-0.00117504173780438,-0.00115046552975742,0.0715699870880109
6,3.6624065,rest_initial,-0.00241826187399739,-0.00301075822033621,-0.000633541999824948,-0.00244888681301571,-0.00291985053713218,-0.000588276506305464,-0.00480906118636146,-0.00467459131247079,-0.00365782344698739,0.000663334890238221,-0.00313194768799627,0.00179472209248016,-0.00320093414292387,-0.00095301261092947,9.82718355908383e-05,-0.00337017989437766,0.00309626477294258,0.00321419891623054,0.052598857646833
7,3.6629365,rest_initial,-0.0018443960874811,-0.00339199110027237,-0.00380169145136987,-0.0018488868130157,-0.00338651720379885,-0.00385494317297213,-0.000609061186361462,-0.00447459131247079,-0.00315782344698739,-0.00333666510976178,-0.00553194768799628,-0.00560527790751984,-0.00160093414292387,-0.000153012610929475,-0.00280172816440916,-0.00304558750048875,0.00308126500478754,0.00335788787311226,0.118450645028858
8,3.6634509,rest_initial,0.000629793500966063,-0.00601992596280335,-0.00142236906599841,0.000651113186984293,-0.00605318387046551,-0.00138827650630546,-9.06118636147257e-06,-0.0102745913124708,4.21765530126111e-05,-0.000936665109761776,-0.00263194768799628,-5.27790751984197e-06,0.00289906585707613,-0.00525301261092948,-0.00420172816440916,-0.00166400713150539,0.00304571217647478,0.00425059364732387,0.153143503564295
9,3.6638467,rest_initial,0.00100304177526218,-0.005899037314779,-0.00332563884238447,0.00101777985365096,-0.00595318387046551,-0.00335494317297213,0.00369093881363854,-0.00417459131247079,-0.00445782344698739,0.000963334890238223,-0.00823194768799627,-0.00430527790751984,-0.00160093414292387,-0.00545301261092947,-0.00130172816440916,-0.00124408480812779,0.00304344476472048,0.00350494722530817,0.0547487787776053
10,3.6641947,rest_initial,0.000919985155884822,-0.00534257848108404,-0.00397219394008272,0.000917779853650963,-0.00538651720379885,-0.00398827650630546,0.00289093881363854,-0.00387459131247079,-0.00265782344698739,-0.000636665109761778,-0.00473194768799628,-0.00430527790751984,0.000499065857076127,-0.00755301261092947,-0.00500172816440916,-0.000832811670221619,0.00304625837872825,0.00436841511291802,0.0745503368302594
