sample_idx,t_pc_s,label,omega_ukf_x,omega_ukf_y,omega_ukf_z,omega_raw_avg_x,omega_raw_avg_y,omega_raw_avg_z,omega_orta_x,omega_orta_y,omega_orta_z,omega_sol_x,omega_sol_y,omega_sol_z,omega_sag_x,omega_sag_y,omega_sag_z,alpha_ukf_x,alpha_ukf_y,alpha_ukf_z,innovation_norm
1,3.2921757,rest_initial,0.000210563326536681,-0.00445967825745216,-0.0028210742937164,0.000217779853650964,-0.00445318387046551,-0.0028216098396388,0.00289093881363854,-0.00577459131247079,-0.00235782344698739,0.000163334890238225,-0.00153194768799628,-0.00220527790751984,-0.00240093414292387,-0.00605301261092947,-0.00390172816440916,-7.06244402377797e-05,-4.06230637955081e-07,0.000381256134600286,0.0519827627936039
2,3.4451143,rest_initial,0.00192576090031142,-0.00174208059452205,-0.00134916360162626,0.0019511131869843,-0.00161985053713218,-0.0013216098396388,0.00289093881363854,-0.00417459131247079,-0.00265782344698739,0.00196333489023822,-0.00133194768799628,0.000194722092480157,0.000999065857076127,0.000646987389070527,-0.00150172816440916,0.00145545065028034,0.00105393652363173,1.7609609128332e-05,0.125197288324295
3,3.4527946,rest_initial,0.000837238195582056,-0.00501622124539122,-0.00207929052337446,0.000817779853650964,-0.00508651720379884,-0.00208827650630546,0.00289093881363854,-0.00447459131247079,-0.00185782344698739,-0.00143666510976178,-0.00873194768799627,0.000794722092480157,0.000999065857076127,-0.00205301261092947,-0.00520172816440916,0.00154616980628524,0.000387608891016002,0.000643219185442068,0.0560319464843082
4,3.4592592,rest_initial,0.00167090190462621,-0.000883353271168098,-0.00235225514707859,0.00168444652031763,-0.000819850537132181,-0.00235494317297213,0.00259093881363853,0.00112540868752921,-0.00315782344698739,0.00116333489023822,-0.00213194768799628,-0.00320527790751984,0.00129906585707613,-0.00145301261092947,-0.000701728164409162,0.000785092225114251,0.00109716987403151,-0.000482489114515511,0.125919871897478
5,3.6121867,rest_initial,0.000554126447944768,-0.00631492395126757,-0.00330501999762189,0.000551113186984294,-0.00638651720379884,-0.0033216098396388,0.00209093881363853,-0.00917459131247079,-0.00235782344698739,0.00176333489023822,-0.00663194768799628,-0.00320527790751984,-0.00220093414292387,-0.00335301261092947,-0.00440172816440916,0.000509758734000605,-0.00117325329441775,-0.00115031271868423,0.0716463243402199
6,3.6624065,rest_initial,-0.00241693145131551,-0.0030168065500933,-0.000634211975384943,-0.00244888681301571,-0.00291985053713218,-0.000588276506305464,-0.00480906118636146,-0.00467459131247079,-0.00365782344698739,0.000663334890238221,-0.00313194768799627,0.00179472209248016,-0.00320093414292387,-0.00095301261092947,9.82718355908383e-05,-0.00336950967035726,0.00309925635575523,0.00321433487124136,0.0526105449941856
7,3.6629365,rest_initial,-0.00184298314432093,-0.00339642218609945,-0.00380232725332255,-0.0018488868130157,-0.00338651720379885,-0.00385494317297213,-0.000609061186361462,-0.00447459131247079,-0.00315782344698739,-0.00333666510976178,-0.00553194768799628,-0.00560527790751984,-0.00160093414292387,-0.000153012610929475,-0.00280172816440916,-0.00304494366645559,0.0030851500205293,0.00335800930174139,0.118451741982237
8,3.6634509,rest_initial,0.0006306963778536,-0.00602310810343131,-0.00142333837654121,0.000651113186984293,-0.00605318387046551,-0.00138827650630546,-9.06118636147257e-06,-0.0102745913124708,4.21765530126111e-05,-0.000936665109761776,-0.00263194768799628,-5.27790751984197e-06,0.00289906585707613,-0.00525301261092948,-0.00420172816440916,-0.00166344707173672,0.00305036210802747,0.00425068567734433,0.153134683841217
9,3.6638467,rest_initial,0.00100386786683772,-0.00590083759494182,-0.00332627641559222,0.00101777985365096,-0.00595318387046551,-0.00335494317297213,0.00369093881363854,-0.00417459131247079,-0.00445782344698739,0.000963334890238223,-0.00823194768799627,-0.00430527790751984,-0.00160093414292387,-0.00545301261092947,-0.00130172816440916,-0.00124348723831606,0.00304787918645686,0.003505068298523,0.0547089455179577
10,3.6641947,rest_initial,0.000920626785476011,-0.00534347212141514,-0.00397308608708944,0.000917779853650963,-0.00538651720379885,-0.00398827650630546,0.00289093881363854,-0.00387459131247079,-0.00265782344698739,-0.000636665109761778,-0.00473194768799628,-0.00430527790751984,0.000499065857076127,-0.00755301261092947,-0.00500172816440916,-0.00083223398903531,0.00305045335587621,0.00436851317106601,0.0745661102473444
11,3.664545,rest_initial,0.00081934032695606,-0.00525843375548277,-0.000111369553068614,0.000817779853650959,-0.00525318387046551,-5.49431729721308e-05,-9.06118636147257e-06,-0.00417459131247079,0.00374217655301261,0.000663334890238221,-0.00983194768799628,-0.000805277907519842,0.00179906585707613,-0.00175301261092947,-0.00310172816440916,-0.0017635720915173,0.00305153684304247,0.0057549624335292,0.140860213209217
12,3.6649035,rest_initial,0.000778950874048157,-0.00533149700531585,-0.00216170093603809,0.000784446520317629,-0.00531985053713218,-0.00218827650630546,-0.00190906118636146,-0.00677459131247079,-0.00285782344698739,0.00276333489023822,-0.00453194768799628,-0.00110527790751984,0.00149906585707613,-0.00465301261092947,-0.00260172816440916,-0.00162570798620262,0.00305122890553902,0.00515375369841693,0.0747166867418781
13,3.6652463,rest_initial,-0.00069490555968437,-0.00574730828787263,-0.00360048906563306,-0.000715553479682374,-0.00575318387046551,-0.0036216098396388,0.000990938813638528,-0.00677459131247079,-0.00475782344698739,-0.00173666510976178,-0.00553194768799628,-0.00220527790751984,-0.00140093414292387,-0.00495301261092947,-0.00390172816440916,-0.0015378440485273,0.00304706908931124,0.00585767336495077,0.0706494662722614
