sample_idx,t_pc_s,label,omega_ukf_x,omega_ukf_y,omega_ukf_z,omega_raw_avg_x,omega_raw_avg_y,omega_raw_avg_z,alpha_ukf_x,alpha_ukf_y,alpha_ukf_z,innovation_norm
1,3.0508878,rest_initial,0.00334813433499976,0.00108971342632626,-0.000575613606401585,0.00334819948248326,0.00108968719308374,-0.000577127560021375,0.368190795136091,-3.11053925729782e-06,1.6856324393973,1.5879089322886
2,3.0530688,rest_initial,-0.000266015237754627,0.00044197001848149,0.00104197264243275,-0.000294038923994493,0.000440028812943809,0.00104410751445037,0.859791366620221,-0.00015040589381753,2.77048655729053,1.5359913343496
3,3.0538575,rest_initial,0.0020853973151486,-0.00175940496060298,0.00163393357544545,0.00207569713069462,-0.00179011336264633,0.00162682747445691,1.15411930522498,-0.000357092316102798,3.56210841099911,1.44191844760181
4,3.0545135,rest_initial,0.00169191416286353,0.000867516653803516,0.00103947352225937,0.00177786636834993,0.000884570836746349,0.00103125619012364,1.33391126908348,-0.000138538469795466,4.01153417975602,1.56490976411831
5,3.0548343,rest_initial,0.000604272401070239,0.00107011770454914,0.000720481735080188,0.000551533967201808,0.00108263559266535,0.000719268098378642,1.51574647009268,-0.000129217453748366,4.37531939917831,1.52811610034319
6,3.0551785,rest_initial,0.00159357532560488,0.000664753889551943,0.00120331521406096,0.0015661579263598,0.000659147927095843,0.00120156193361944,1.90990529163922,-0.000149500316665006,4.67794083413426,1.54069656088745
7,3.0556293,rest_initial,0.00152249818807553,0.00107189001613177,0.00195558693456111,0.0015403978870236,0.00109224397768161,0.00195488730214417,2.30404202571621,-0.00012126827537728,5.04220952341381,1.44898114823442
8,3.055945,rest_initial,0.00331509559796365,-0.00091590135899705,0.00168051952556965,0.00331682110343918,-0.000921673361115177,0.0016805944148135,2.54784141299065,-0.000225299083707713,5.35730941188648,1.57655343367331
9,3.0562499,rest_initial,9.80263800742153e-05,-0.00170266604194332,0.00172718618414738,8.87728460446368e-05,-0.00172232137986764,0.00172213601087171,2.39386249284774,-0.000267470318843996,5.50163867281757,1.52850252039353
10,3.0565819,rest_initial,0.00145574057680243,-0.000702597061934721,0.0017868548060641,0.00144386287913564,-0.000659665664765686,0.00178432372951117,2.4662927120991,-0.000206257714903194,5.67814258042037,1.58112893569319
11,3.0568867,rest_initial,0.00181392769211868,-0.00215792351304149,0.00175177003262578,0.0018210407257503,-0.00221280413795023,0.00174993738653358,2.57393662422512,-0.00029278729176722,5.80199032091381,1.56351656615578
12,3.0572003,rest_initial,0.00365178832685495,0.000306372306886014,0.00235636996802499,0.00369388788622207,0.000363710633721863,0.00236145751086072,2.55938052936932,-0.0001348007832257,6.01694304249858,1.62567070788685
13,3.0575212,rest_initial,-0.000881976664610813,0.00131601025717515,0.00217536962854548,-0.000949475899036196,0.00128779320267853,0.00216671114954102,2.54248778858086,-6.51729574773973e-05,6.02445890534481,1.47601379974214
14,3.0578242,rest_initial,0.000220134244392211,-0.00030247948605537,0.00260839685775118,0.000224896964024569,-0.000293921615658857,0.00260659420579195,2.60887793530309,-0.000175164143500949,6.1102214059091,1.56772003355457
15,3.0581223,rest_initial,0.000306560513330453,0.00104163285213107,3.68370363014753e-05,0.000350632717637062,0.00103228985229089,3.00806787532293e-05,2.76505572005084,-8.14007468555865e-05,6.20261222987659,1.58356891869611
16,3.0584287,rest_initial,-0.00150535340199392,-0.00299154969901237,0.000410769637116136,-0.00150196359947416,-0.00300049231421799,0.000406684744973514,2.7156559775806,-0.000382612848147632,6.10478243148074,1.55125648327653
17,3.0587313,rest_initial,0.00178257055964405,-4.70944115410141e-05,-0.00335328476315837,0.00180021240758764,-2.56479015963128e-05,-0.00335402459423497,2.71977089165272,-0.000156741705935373,6.10542799256629,1.54174959922652
18,3.0590381,rest_initial,-0.000302440169024724,0.00118145666094596,-0.0017809746486778,-0.000309304434577696,0.00119384563099872,-0.00178906712359655,2.77090035935694,-5.74857411735763e-05,6.15730849147032,1.54815626184524
19,3.0593548,rest_initial,6.53998355321852e-05,-0.000185400316713738,0.000705144724625033,1.68609248547321e-05,-0.000229104776309212,0.00070641112260485,2.91030689933759,-0.000175428588772204,6.26567840456803,1.46115431951819
20,3.0596566,rest_initial,-0.00150001696589701,-0.00137764246561961,-0.00114911747515909,-0.0015252927056468,-0.0014179911842614,-0.00115323333087408,2.96398480042744,-0.000277229018114871,6.35024364657556,1.52220018536191
21,3.0599526,rest_initial,0.00169870728818601,0.000424007726965163,-4.00711645793546e-05,0.00177241393692878,0.000465439242992865,-4.05844961230449e-05,2.91973153603732,-0.000121202391419853,6.29384468968715,1.58347533124128
22,3.0602483,rest_initial,-0.000688841015297882,-0.000344493242298148,0.00308205082156815,-0.000756960525619203,-0.000292590169223332,0.00308705435835422,2.79064858683725,-0.000190092347359533,6.21858027433894,1.49288889203749
23,3.0605577,rest_initial,-0.00126204975680769,-0.00158493036708847,-0.00049659258741557,-0.00121476392381132,-0.00161539232681852,-0.00050687894558179,2.83211338731775,-0.000309668476292996,6.12931807409638,1.54766067139007
